B001,计算机,Java编程思想,机械工业出版社,2007,Bruce Eckel,108,10
B002,文学,百年孤独,南海出版公司,2011,加西亚·马尔克斯,39.50
B003,科学,时间简史,湖南科学技术出版社,2010,史蒂芬·霍金,45
B004,艺术,西方美术史,中国美术学院出版社,2018,贡布里希,89
B005,历史,枪炮、病菌与钢铁,中信出版社,2016,贾雷德·戴蒙德,69
B006,心理学,乌合之众,中央编译出版社,2018,古斯塔夫·勒庞,29.80
B007,技术,深入理解计算机系统,机械工业出版社,2016,Randal E. Bryant,99
B008,哲学,存在与时间,商务印书馆,2017,海德格尔,48
B009,传记,史蒂夫·乔布斯传,中信出版社,2011,沃尔特·艾萨克森,78
B010,经济,资本论,人民出版社,2004,卡尔·马克思,99
B011,文学,追风筝的人,上海人民出版社,2006,卡勒德·胡赛尼,39
B012,科学,自私的基因,中信出版社,2018,理查德·道金斯,59
B013,管理,高效能人士的七个习惯,中国青年出版社,2014,史蒂芬·柯维,69
B014,计算机科学,计算机体系结构,机械工业出版社,2010,Bruce Eckel,108,10
